pkid,method,layers,culled_depth,num_params
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
4,PenaltySolver,5,140,10
4,PenaltySolver,5,132,10
4,PenaltySolver,5,132,10
4,PenaltySolver,5,140,10
4,PenaltySolver,5,132,10
4,PenaltySolver,5,132,10
4,PenaltySolver,5,140,10
4,PenaltySolver,5,132,10
4,PenaltySolver,5,132,10
4,PenaltySolver,5,140,10
5,PenaltySolver,5,152,10
5,PenaltySolver,5,162,10
5,PenaltySolver,5,162,10
5,PenaltySolver,5,152,10
5,PenaltySolver,5,162,10
5,PenaltySolver,5,162,10
5,PenaltySolver,5,152,10
5,PenaltySolver,5,162,10
5,PenaltySolver,5,162,10
5,PenaltySolver,5,152,10
6,PenaltySolver,5,469,10
6,PenaltySolver,5,469,10
6,PenaltySolver,5,479,10
6,PenaltySolver,5,479,10
6,PenaltySolver,5,459,10
6,PenaltySolver,5,479,10
6,PenaltySolver,5,489,10
6,PenaltySolver,5,459,10
6,PenaltySolver,5,481,10
6,PenaltySolver,5,459,10
7,PenaltySolver,5,489,10
7,PenaltySolver,5,499,10
7,PenaltySolver,5,479,10
7,PenaltySolver,5,491,10
7,PenaltySolver,5,479,10
7,PenaltySolver,5,499,10
7,PenaltySolver,5,491,10
7,PenaltySolver,5,499,10
7,PenaltySolver,5,501,10
7,PenaltySolver,5,501,10
8,PenaltySolver,5,90,10
8,PenaltySolver,5,90,10
8,PenaltySolver,5,90,10
8,PenaltySolver,5,82,10
8,PenaltySolver,5,72,10
8,PenaltySolver,5,90,10
8,PenaltySolver,5,72,10
8,PenaltySolver,5,80,10
8,PenaltySolver,5,80,10
8,PenaltySolver,5,82,10
9,PenaltySolver,5,140,10
9,PenaltySolver,5,130,10
9,PenaltySolver,5,140,10
9,PenaltySolver,5,150,10
9,PenaltySolver,5,150,10
9,PenaltySolver,5,150,10
9,PenaltySolver,5,160,10
9,PenaltySolver,5,132,10
9,PenaltySolver,5,132,10
9,PenaltySolver,5,142,10
10,PenaltySolver,5,200,10
10,PenaltySolver,5,190,10
10,PenaltySolver,5,190,10
10,PenaltySolver,5,178,10
10,PenaltySolver,5,182,10
10,PenaltySolver,5,172,10
10,PenaltySolver,5,190,10
10,PenaltySolver,5,180,10
10,PenaltySolver,5,182,10
10,PenaltySolver,5,200,10
11,PenaltySolver,5,192,10
11,PenaltySolver,5,210,10
11,PenaltySolver,5,220,10
11,PenaltySolver,5,210,10
11,PenaltySolver,5,196,10
11,PenaltySolver,5,202,10
11,PenaltySolver,5,200,10
11,PenaltySolver,5,210,10
11,PenaltySolver,5,190,10
11,PenaltySolver,5,212,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
5,CyclicSolver,5,260,10
5,CyclicSolver,5,240,10
5,CyclicSolver,5,240,10
5,CyclicSolver,5,260,10
5,CyclicSolver,5,240,10
5,CyclicSolver,5,240,10
5,CyclicSolver,5,260,10
5,CyclicSolver,5,240,10
5,CyclicSolver,5,240,10
5,CyclicSolver,5,260,10
6,CyclicSolver,5,585,10
6,CyclicSolver,5,585,10
6,CyclicSolver,5,565,10
6,CyclicSolver,5,565,10
6,CyclicSolver,5,527,10
6,CyclicSolver,5,595,10
6,CyclicSolver,5,575,10
6,CyclicSolver,5,535,10
6,CyclicSolver,5,567,10
6,CyclicSolver,5,535,10
7,CyclicSolver,5,645,10
7,CyclicSolver,5,625,10
7,CyclicSolver,5,585,10
7,CyclicSolver,5,617,10
7,CyclicSolver,5,585,10
7,CyclicSolver,5,625,10
7,CyclicSolver,5,617,10
7,CyclicSolver,5,625,10
7,CyclicSolver,5,597,10
7,CyclicSolver,5,597,10
8,CyclicSolver,5,145,10
8,CyclicSolver,5,145,10
8,CyclicSolver,5,137,10
8,CyclicSolver,5,145,10
8,CyclicSolver,5,135,10
8,CyclicSolver,5,145,10
8,CyclicSolver,5,135,10
8,CyclicSolver,5,135,10
8,CyclicSolver,5,135,10
8,CyclicSolver,5,145,10
9,CyclicSolver,5,200,10
9,CyclicSolver,5,190,10
9,CyclicSolver,5,200,10
9,CyclicSolver,5,202,10
9,CyclicSolver,5,210,10
9,CyclicSolver,5,210,10
9,CyclicSolver,5,220,10
9,CyclicSolver,5,200,10
9,CyclicSolver,5,200,10
9,CyclicSolver,5,210,10
10,CyclicSolver,5,250,10
10,CyclicSolver,5,250,10
10,CyclicSolver,5,250,10
10,CyclicSolver,5,260,10
10,CyclicSolver,5,250,10
10,CyclicSolver,5,222,10
10,CyclicSolver,5,250,10
10,CyclicSolver,5,240,10
10,CyclicSolver,5,250,10
10,CyclicSolver,5,260,10
11,CyclicSolver,5,260,10
11,CyclicSolver,5,270,10
11,CyclicSolver,5,280,10
11,CyclicSolver,5,270,10
11,CyclicSolver,5,280,10
11,CyclicSolver,5,254,10
11,CyclicSolver,5,260,10
11,CyclicSolver,5,270,10
11,CyclicSolver,5,250,10
11,CyclicSolver,5,262,10
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
1,HeaSolver,5,75,225
1,HeaSolver,5,75,225
1,HeaSolver,5,75,225
1,HeaSolver,5,75,225
1,HeaSolver,5,75,225
1,HeaSolver,5,75,225
