pkid,method,layers,culled_depth,num_params
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
3,PenaltySolver,5,140,10
3,PenaltySolver,5,132,10
3,PenaltySolver,5,132,10
3,PenaltySolver,5,140,10
3,PenaltySolver,5,132,10
3,PenaltySolver,5,132,10
3,PenaltySolver,5,140,10
3,PenaltySolver,5,132,10
3,PenaltySolver,5,132,10
3,PenaltySolver,5,140,10
4,PenaltySolver,5,152,10
4,PenaltySolver,5,162,10
4,PenaltySolver,5,162,10
4,PenaltySolver,5,152,10
4,PenaltySolver,5,162,10
4,PenaltySolver,5,162,10
4,PenaltySolver,5,152,10
4,PenaltySolver,5,162,10
4,PenaltySolver,5,162,10
4,PenaltySolver,5,152,10
5,PenaltySolver,5,469,10
5,PenaltySolver,5,469,10
5,PenaltySolver,5,479,10
5,PenaltySolver,5,479,10
5,PenaltySolver,5,459,10
5,PenaltySolver,5,479,10
5,PenaltySolver,5,489,10
5,PenaltySolver,5,459,10
5,PenaltySolver,5,481,10
5,PenaltySolver,5,459,10
6,PenaltySolver,5,82,10
6,PenaltySolver,5,90,10
6,PenaltySolver,5,72,10
6,PenaltySolver,5,80,10
6,PenaltySolver,5,82,10
6,PenaltySolver,5,90,10
6,PenaltySolver,5,72,10
6,PenaltySolver,5,90,10
6,PenaltySolver,5,82,10
6,PenaltySolver,5,90,10
7,PenaltySolver,5,134,10
7,PenaltySolver,5,140,10
7,PenaltySolver,5,150,10
7,PenaltySolver,5,150,10
7,PenaltySolver,5,140,10
7,PenaltySolver,5,160,10
7,PenaltySolver,5,134,10
7,PenaltySolver,5,160,10
7,PenaltySolver,5,124,10
7,PenaltySolver,5,140,10
8,PenaltySolver,5,192,10
8,PenaltySolver,5,202,10
8,PenaltySolver,5,182,10
8,PenaltySolver,5,200,10
8,PenaltySolver,5,190,10
8,PenaltySolver,5,190,10
8,PenaltySolver,5,192,10
8,PenaltySolver,5,192,10
8,PenaltySolver,5,166,10
8,PenaltySolver,5,180,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
3,CyclicSolver,5,200,10
3,CyclicSolver,5,200,10
3,CyclicSolver,5,200,10
3,CyclicSolver,5,200,10
3,CyclicSolver,5,200,10
3,CyclicSolver,5,200,10
3,CyclicSolver,5,200,10
3,CyclicSolver,5,200,10
3,CyclicSolver,5,200,10
3,CyclicSolver,5,200,10
4,CyclicSolver,5,260,10
4,CyclicSolver,5,240,10
4,CyclicSolver,5,240,10
4,CyclicSolver,5,260,10
4,CyclicSolver,5,240,10
4,CyclicSolver,5,240,10
4,CyclicSolver,5,260,10
4,CyclicSolver,5,240,10
4,CyclicSolver,5,240,10
4,CyclicSolver,5,260,10
5,CyclicSolver,5,585,10
5,CyclicSolver,5,585,10
5,CyclicSolver,5,565,10
5,CyclicSolver,5,565,10
5,CyclicSolver,5,527,10
5,CyclicSolver,5,595,10
5,CyclicSolver,5,575,10
5,CyclicSolver,5,535,10
5,CyclicSolver,5,567,10
5,CyclicSolver,5,535,10
6,CyclicSolver,5,145,10
6,CyclicSolver,5,145,10
6,CyclicSolver,5,135,10
6,CyclicSolver,5,135,10
6,CyclicSolver,5,145,10
6,CyclicSolver,5,137,10
6,CyclicSolver,5,135,10
6,CyclicSolver,5,145,10
6,CyclicSolver,5,145,10
6,CyclicSolver,5,145,10
7,CyclicSolver,5,194,10
7,CyclicSolver,5,200,10
7,CyclicSolver,5,210,10
7,CyclicSolver,5,202,10
7,CyclicSolver,5,200,10
7,CyclicSolver,5,220,10
7,CyclicSolver,5,210,10
7,CyclicSolver,5,220,10
7,CyclicSolver,5,200,10
7,CyclicSolver,5,190,10
8,CyclicSolver,5,260,10
8,CyclicSolver,5,262,10
8,CyclicSolver,5,242,10
8,CyclicSolver,5,260,10
8,CyclicSolver,5,250,10
8,CyclicSolver,5,250,10
8,CyclicSolver,5,252,10
8,CyclicSolver,5,260,10
8,CyclicSolver,5,240,10
8,CyclicSolver,5,240,10
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
1,HeaSolver,5,75,225
1,HeaSolver,5,75,225
1,HeaSolver,5,75,225
1,HeaSolver,5,75,225
1,HeaSolver,5,75,225
1,HeaSolver,5,75,225
1,HeaSolver,5,75,225
1,HeaSolver,5,75,225
1,HeaSolver,5,75,225
1,HeaSolver,5,75,225
2,HeaSolver,5,105,315
2,HeaSolver,5,105,315
2,HeaSolver,5,105,315
2,HeaSolver,5,105,315
2,HeaSolver,5,105,315
2,HeaSolver,5,105,315
2,HeaSolver,5,105,315
2,HeaSolver,5,105,315
2,HeaSolver,5,105,315
2,HeaSolver,5,105,315
3,HeaSolver,5,60,180
3,HeaSolver,5,60,180
3,HeaSolver,5,60,180
3,HeaSolver,5,60,180
3,HeaSolver,5,60,180
3,HeaSolver,5,60,180
3,HeaSolver,5,60,180
3,HeaSolver,5,60,180
3,HeaSolver,5,60,180
3,HeaSolver,5,60,180
4,HeaSolver,5,75,225
4,HeaSolver,5,75,225
4,HeaSolver,5,75,225
4,HeaSolver,5,75,225
4,HeaSolver,5,75,225
4,HeaSolver,5,75,225
4,HeaSolver,5,75,225
4,HeaSolver,5,75,225
4,HeaSolver,5,75,225
4,HeaSolver,5,75,225
5,HeaSolver,5,120,360
5,HeaSolver,5,120,360
5,HeaSolver,5,120,360
5,HeaSolver,5,120,360
5,HeaSolver,5,120,360
5,HeaSolver,5,120,360
5,HeaSolver,5,120,360
5,HeaSolver,5,120,360
5,HeaSolver,5,120,360
5,HeaSolver,5,120,360
6,HeaSolver,5,40,120
6,HeaSolver,5,40,120
6,HeaSolver,5,40,120
6,HeaSolver,5,40,120
6,HeaSolver,5,40,120
6,HeaSolver,5,40,120
6,HeaSolver,5,40,120
6,HeaSolver,5,40,120
6,HeaSolver,5,40,120
6,HeaSolver,5,40,120
7,HeaSolver,5,90,270
7,HeaSolver,5,90,270
7,HeaSolver,5,90,270
7,HeaSolver,5,90,270
7,HeaSolver,5,90,270
7,HeaSolver,5,90,270
7,HeaSolver,5,90,270
7,HeaSolver,5,90,270
7,HeaSolver,5,90,270
7,HeaSolver,5,90,270
