pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,PenaltySolver,6.54296875,26.85546875,28.586489457679786,122,7.870691101954435,18.269716957045603,138240
0,1,5,6,3,PenaltySolver,3.22265625,10.83984375,34.463232404643385,102,7.900609676944441,17.111038151051616,115712
0,2,5,6,3,PenaltySolver,4.4921875,18.84765625,33.45306394393558,114,7.879518601039308,17.684959048958262,129024
0,3,5,6,3,PenaltySolver,1.7578125,9.9609375,39.33007809474609,100,7.256818267938797,17.290866436058423,113664
0,4,5,6,3,PenaltySolver,10.44921875,21.38671875,38.043543176150855,98,7.203740842975094,16.201259630019194,110592
0,5,5,6,3,PenaltySolver,8.0078125,14.84375,18.64969757462913,108,6.9606567489681765,17.741837045032298,121856
0,6,5,6,3,PenaltySolver,1.26953125,12.6953125,39.14759111973494,99,7.04038792992651,16.10314751707483,111616
0,7,5,6,3,PenaltySolver,11.81640625,19.3359375,61.99584953188018,121,6.80606667396205,19.07832934903854,137216
0,8,5,6,3,PenaltySolver,15.625,21.6796875,41.962446694806864,109,7.447471977036912,17.59030990995234,122880
0,9,5,6,3,PenaltySolver,26.07421875,28.7109375,20.94572565300164,103,7.128009824853507,17.349236921145348,116736
0,0,5,6,3,CyclicSolver,40.4296875,59.47265625,14.394276488306836,132,4.207094062046963,24.974437978948117,149504
0,1,5,6,3,CyclicSolver,1.7578125,42.7734375,16.262646476243678,112,5.019541844929336,22.27208581006562,126976
0,2,5,6,3,CyclicSolver,66.69921875,74.8046875,8.256958002651901,139,4.524519775848603,24.802396175145986,156672
0,3,5,6,3,CyclicSolver,1.66015625,4.78515625,31.00473254826559,121,3.8348962479649344,24.479816803039284,137216
0,4,5,6,3,CyclicSolver,0.1953125,47.55859375,19.357881422436538,112,4.425470403992222,22.03595487801067,126976
0,5,5,6,3,CyclicSolver,2.34375,37.98828125,11.19332786937312,127,5.019099221899523,23.979704602097627,143360
0,6,5,6,3,CyclicSolver,9.08203125,39.453125,21.872005193751995,121,4.029867154109525,24.380511614886927,137216
0,7,5,6,3,CyclicSolver,7.03125,30.95703125,44.53063959277419,121,4.830193389832857,23.318283988162875,137216
0,8,5,6,3,CyclicSolver,31.0546875,47.65625,23.621537620571328,106,4.152271989107248,21.483989277883666,119808
0,9,5,6,3,CyclicSolver,28.3203125,42.96875,11.92134915406871,121,4.825938425085042,23.352736387911136,137216
0,0,5,6,3,HeaSolver,1.26953125,5.95703125,28.955545164041066,201,18.854977642942686,45.852920311052,226304
0,1,5,6,3,HeaSolver,8.7890625,12.890625,31.36635740619182,201,19.34639488796529,45.83919967603288,226304
0,2,5,6,3,HeaSolver,0.68359375,6.4453125,40.831237767449224,201,17.382306673040148,47.359243409955525,226304
0,3,5,6,3,HeaSolver,0.29296875,6.54296875,53.26787856479394,201,17.82161229790654,45.910831762084854,226304
0,4,5,6,3,HeaSolver,10.05859375,16.11328125,32.70789290355418,201,17.325377119967015,47.47697418303869,226304
0,5,5,6,3,HeaSolver,0.09765625,3.125,22.702116928160606,201,17.43363159999717,46.99929927100311,226304
0,6,5,6,3,HeaSolver,25.68359375,37.01171875,32.19680987436879,201,17.079538366902852,46.92862614709884,226304
0,7,5,6,3,HeaSolver,0.1953125,5.078125,88.33813465520232,201,18.182276166931842,46.796612876074505,226304
0,8,5,6,3,HeaSolver,0.09765625,7.421875,59.11585577012195,201,18.91623585295747,45.79641109603108,226304
0,9,5,6,3,HeaSolver,0.1953125,5.078125,24.336463331985975,201,17.54200369490718,47.383460655095405,226304
0,0,1,6,3,ChocoSolver,100.0,100.0,0.0,18,0.1162833900161786,0.6599732389877317,20480
0,1,1,6,3,ChocoSolver,100.0,100.0,0.0,18,0.09578726904874202,0.7842860159580596,20480
0,2,1,6,3,ChocoSolver,1.26953125,100.0,0.31695556620815274,28,0.17358199501177296,1.006420003992389,31744
0,3,1,6,3,ChocoSolver,0,100.0,0.15384615372781063,31,0.12329164499533363,1.0501416780025465,35840
0,4,1,6,3,ChocoSolver,100.0,100.0,0.0,18,0.08167220299947076,0.6293817620025948,20480
0,5,1,6,3,ChocoSolver,0,100.0,0.16129032252861603,18,0.09508061096130405,0.8636665790400002,20480
0,6,1,6,3,ChocoSolver,17.7734375,100.0,1.291276040805816,27,0.13931428294745274,0.9442982720647706,30720
0,7,1,6,3,ChocoSolver,15.33203125,100.0,1.7202148415997314,28,0.17521635396406054,1.001121947032516,31744
0,8,1,6,3,ChocoSolver,0,100.0,0.18181818165289254,20,0.16502541600493714,0.8883221929863794,23552
0,9,1,6,3,ChocoSolver,1.85546875,100.0,0.4236403243562922,28,0.16261497903906275,1.1583470619661966,31744
1,0,5,12,6,PenaltySolver,0.9765625,4.4921875,234.42610638012314,106,91.51572422999016,9.873279046005337,119808
1,1,5,12,6,PenaltySolver,0.390625,0.390625,68.57635269450876,95,78.38515215207008,8.743142182938755,107520
1,2,5,12,6,PenaltySolver,0.48828125,0.9765625,642.6324848370584,109,84.37405600208149,10.14617968290986,122880
1,3,5,12,6,PenaltySolver,0.29296875,0.390625,96.0411304582111,126,96.52062819998537,11.036272921017371,142336
1,4,5,12,6,PenaltySolver,0.09765625,0.9765625,533.9547508243176,112,97.68787601594522,10.333750853053061,126976
1,5,5,12,6,PenaltySolver,0.48828125,1.7578125,63.35789059965684,109,92.54927133685851,10.034825078138965,122880
1,6,5,12,6,PenaltySolver,0.09765625,3.61328125,251.96054637107892,126,107.60406083182897,11.278981995172217,142336
1,7,5,12,6,PenaltySolver,0,0.78125,168.07560207347865,118,109.41771193305613,10.59588174095552,133120
1,8,5,12,6,PenaltySolver,0.1953125,0.9765625,172.78417949551755,106,85.01966397797514,9.76792092101823,119808
1,9,5,12,6,PenaltySolver,0.1953125,0.1953125,211.8796872881203,101,92.72737983689876,9.454934996101656,114688
1,0,5,12,6,CyclicSolver,99.21875,99.31640625,0.6503906239160157,127,8.999616112923832,17.963417002072674,143360
1,1,5,12,6,CyclicSolver,97.55859375,97.55859375,0.4435763887246013,141,15.234953194027185,18.907758911969722,159744
1,2,5,12,6,CyclicSolver,0,99.12109375,6.743489560855035,121,14.142592278964003,17.578312717043445,137216
1,3,5,12,6,CyclicSolver,4.1015625,8.49609375,48.304227912762215,113,29.017232969024917,14.189721250964794,128000
1,4,5,12,6,CyclicSolver,0,99.90234375,5.458333315138889,138,9.260771562956506,19.645327646052465,155648
1,5,5,12,6,CyclicSolver,1.3671875,6.8359375,35.17257811093097,114,31.12700556695927,14.350594757052022,129024
1,6,5,12,6,CyclicSolver,0.09765625,12.59765625,163.82597623484804,108,28.10132632200839,13.65959049599769,121856
1,7,5,12,6,CyclicSolver,0,99.8046875,1.1309407542658827,142,11.250755831919378,20.28156343808223,160768
1,8,5,12,6,CyclicSolver,0.5859375,10.15625,95.34798166489112,120,34.73800670308992,13.977932694906485,136192
1,9,5,12,6,CyclicSolver,0,93.9453125,5.805566400444433,116,13.086128972048755,16.894495477943565,131072
1,0,5,12,6,HeaSolver,0.1953125,0.5859375,374.2324212512793,201,187.42534974907176,15.21889160493447,226304
1,1,5,12,6,HeaSolver,0.1953125,0.48828125,84.55175778118453,201,189.4103879719769,14.371884190026321,226304
1,2,5,12,6,HeaSolver,0,0.1953125,775.5797500189009,201,188.4961509610148,13.584642560992506,226304
1,3,5,12,6,HeaSolver,0.1953125,0.5859375,132.51424624557984,201,188.24105452609365,12.883997234908747,226304
1,4,5,12,6,HeaSolver,0.1953125,0.48828125,762.0091120433029,201,187.9307864620787,15.354636837917496,226304
1,5,5,12,6,HeaSolver,0.1953125,0.29296875,92.93894527532441,201,189.2453310448618,12.94576867914293,226304
1,6,5,12,6,HeaSolver,0.1953125,0.5859375,449.44609285110784,201,186.79484785511158,15.724791717890184,226304
1,7,5,12,6,HeaSolver,0.1953125,0.48828125,190.11588525823674,201,188.89552172794356,15.396555555053055,226304
